"Dish ID
[001]","Dish URL
[002]","Category
[003]","Dish Name
[004]","Sub-Recipe ID
[005]","Sub-Recipe Name (Live Sync)
[006]","Per Portion
[007]","Unit
[008]",Price
377,,,,2393,Rolled Beef Meat Enchilada,2,un,
230,https://eatbetterday.ca/admin/meals/230,Veg,Smokeshow Black Bean Enchiladas,,,,,$15.99
230,,,,1790,Enchilada Red Sauce (Sauce T),150,gr,
230,,,,115,House Pickled Red Onion,25,gr,
230,,,,878,Thick Vegan Mayo,20,gr,
230,,,,278,Housemade Vegan Feta,10,gr,
230,,,,1793,Rolled Enchilada,2,un,
529,https://eatbetterday.ca/admin/meals/529,*Breakie,Spartan Sunrise Breakfast Wrap,,,,,
529,,,,2868,Build Breakfast Wraps,1,un,
550,https://eatbetterday.ca/admin/meals/550,Meat,Spicy Sichuan Beef Dan Dan,,,,,$16.99
550,,,,9,Cooked Spaghetti,185,gr,
550,,,,1782,Dan Dan Spicy Sauce (Sauce W),120,gr,
550,,,,2457,Cooked + Seasoned Ground Beef,80,gr,
550,,,,1781,Asian Walnut Minced Meat,75,gr,
550,,,,1783,Dan Dan Veggie Mix (Veg F),70,gr,
550,,,,244,Round Cut Green Onion,8,gr,
550,,,,304,Sesame Seed Mix,2,gr,
227,https://eatbetterday.ca/admin/meals/227,Veg,Spicy Sichuan Veggie Dan Dan,,,,,$15.99
227,,,,9,Cooked Spaghetti,185,gr,
227,,,,1782,Dan Dan Spicy Sauce (Sauce W),120,gr,
227,,,,1781,Asian Walnut Minced Meat,75,gr,
227,,,,1783,Dan Dan Veggie Mix (Veg F),70,gr,
227,,,,244,Round Cut Green Onion,8,gr,
227,,,,304,Sesame Seed Mix,2,gr,
491,https://eatbetterday.ca/admin/meals/491,Meat,Straight Outta Philly,,,,,$16.99
491,,,,2346,Arugula Potatoes,200,gr,
491,,,,2584,Grilled Peppers + Onions,90,gr,
491,,,,2102,Quick Seared Philly Beef (Pro T),70,gr,
491,,,,2668,Shredded Mozzarella Cheese + Edam #1203020,15,gr,
491,,,,2756,2 oz Horseradish Aioli 2.0,1,un,
360,https://eatbetterday.ca/admin/meals/360,Meat,The Ranch Hand Salad,,,,,$16.99
360,,,,965,Oven Baked Tri Colored Quinoa,135,gr,
360,,,,2513,Sliced KFC Chicken Breasts,70,gr,
360,,,,2342,Ranch Salad Veg,55,gr,
360,,,,421,House Mixed Greens Salad,50,gr,
360,,,,2884,Shredded Nacho Cheese Blend #1203023,30,gr,
360,,,,2458,Defrost Bacon Crumble,18,gr,
360,,,,2521,2.5oz Portioned Extra Spiced Ranch,1,un,
360,,,,2558,2 oz Crumbled Tortilla Chips Cup,1,un,
464,https://eatbetterday.ca/admin/meals/464,Meat,Twirl of the Town Spaghetti & Meatballs,,,,,$16.99
464,,,,1822,"Stanislaus, Tomato Sauce In Bin",210,gr,
464,,,,9,Cooked Spaghetti,160,gr,
464,,,,278,Housemade Vegan Feta,15,gr,
464,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
464,,,,2875,Cooked Italian Turkey Meatballs,2,un,
31,https://eatbetterday.ca/admin/meals/31,Veg,Twirl of the Town Spaghetti & Neat-balls,,,,,$15.99
31,,,,1822,"Stanislaus, Tomato Sauce In Bin",210,gr,
31,,,,9,Cooked Spaghetti,160,gr,
31,,,,278,Housemade Vegan Feta,15,gr,
31,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
31,,,,1821,Baked Spaghetti Neat Balls,2,un,
